id,time,SSRT,SSRT1,SSRT2,SSRT3,SSRT4,rt_nth,MSSD,NTrial,NResp,NInclude,MRT_Go,MRT_Stop,PE_Go,PE_Stop,SSSD,MSSD1,MSSD2,MSSD3,MSSD4,SSSD1,SSSD2,SSSD3,SSSD4
1,2014/5/24 9:08,214.6026273,260.3756468,236.9092775,166.0899325,221.5827416,521.9240559,307.3214286,256,254,254,544.4594844,102.1239353,0.010526316,0.484375,48.60074395,240,305,334.2857143,350,1,1,1,1
2,2014/5/24 8:55,279.1194646125001,303.2500802,284.6786517,299.4219421,258.2314659,472.9747184,184.2261905,256,255,244,482.3964858,215.7171076,0.005555556,0.53125,24.15962834,161.4285714,180,177.1428571,218.3333333,1,1,1,1
3,2014/5/24 9:08,218.5777777,257.3166777,229.7426023,237.956888,149.7426023,370.5867063,152.0089286,256,255,241,357.8681777,158.0571996,0.02259887,0.609375,49.14216825,108.75,142.5,134.2857143,222.5,1,1,1,1
4,2014/5/24 9:01,212.7373645,193.9419433,227.2449402,219.5681726,208.1871635,385.022718,172.2853535,256,256,248,385.7136668,147.7405879,0,0.5,12.82134645,180.9090909,157.7777778,165.4545455,185,1,1,1,1
5,2014/5/24 9:27,180.803629,89.4517581,240.8419767,219.4156362,172.0919767,425.491129,244.6875,256,256,256,498.4963104,75.47792838,0.041666667,0.453125,46.23732935,290,210,200,278.75,1,1,1,1
6,2014/5/24 9:09,211.7857626,128.7784822,272.6162635,231.9218191,214.8384858,450.8482626,239.0625,256,254,252,473.9563627,169.6501801,0.021276596,0.46875,47.94240787,301.1111111,185.5555556,226.25,243.3333333,1,1,1,1
7,2014/5/11 9:08,279.1194646125001,364.7281398,363.8173878,397.6269116,340.4840545,606.7242191,236.8253968,256,254,254,623.825293,231.4866151,0.005263158,0.421875,26.67516871,217.7777778,246.6666667,212.8571429,270,1,1,1,1
8,2007/1/1 1:10,251.1415181,239.8715745,249.8715745,246.9445025,268.7084145,435.6653276,184.5238095,256,256,242,443.6155121,178.7440342,0,0.484375,7.29986177,190,180,191.4285714,176.6666667,1,1,1,1
9,2014/5/11 9:20,220.7114148,208.6864796,251.2806532,240.7250976,175.7250976,423.0725259,202.3611111,256,256,252,437.2005442,149.6037163,0,0.484375,33.44541342,200,174.4444444,185,250,1,1,1,1
10,2014/5/11 8:55,195.408381,92.43599221,229.9199898,261.4477676,211.851808,442.355982,246.947601,256,256,246,447.0461105,135.972992,0,0.46875,59.0395565,330,223.75,192.2222222,241.8181818,1,1,1,1
11,2014/5/11 9:11,242.425607,242.9174835,269.5436626,204.5436626,248.3670411,424.5436626,182.1180556,256,256,253,433.006819,171.558236,0.015873016,0.5,27.61977633,171.25,155,220,182.2222222,1,1,1,1
12,2014/5/10 9:03,201.8313823,NA,222.2024039,237.2617577,153.2141386,415.482176,213.6507937,256,256,232,423.5478133,141.6907304,0.017857143,0.46875,47.39969319,190,188.3333333,184.2857143,268.3333333,0,1,1,1
13,2014/5/18 9:13,252.3659054,NA,NA,242.149955,271.0312537,388.1992387,135.8333333,256,255,240,384.1724595,204.0689538,0.079545455,0.546875,1.178511302,-40,-40,136.6666667,135,0,0,1,1
14,2014/5/18 9:10,166.5305147,149.6031646,124.5650289,210.7764492,182.3249083,413.4055147,246.875,256,256,248,431.4583278,117.6917884,0,0.46875,23.71098159,256.6666667,263.3333333,211.6666667,255.8333333,1,1,1,1
