AntiSac,StopSignal,Stroop,CateSwitch,ShiftColor,ShiftNumber,KeepTrack,spatialWM,WM3
0.17498,7.1706,43.054,-221.07,-131.14,47.347,NaN,-1.0759,-0.38407
0.041244,-57.346,-63.479,158.22,-372.63,-20.139,NaN,-0.54751,1.0099
-0.047514,3.1955,43.435,NaN,51.895,-296.89,NaN,-0.26014,-0.99768
0.04371,3.9104,-0.11559,NaN,122.96,-24.666,0.54839,1.1244,0.93419
-0.25318,35.844,68.955,NaN,-77.643,-244.51,0.54839,-0.2461,-0.42815
-0.082537,4.862,-6.0312,NaN,35.711,-55.888,0.54839,1.1244,-0.96288
-0.14082,-62.472,-41.981,NaN,-352.21,-234.31,0.23172,-0.8152,-0.73705
0.04371,-34.494,87.443,98.375,225.35,144.73,-0.42027,0.02136,-1.03
0.030224,-4.0637,-69.896,-250.33,-166.36,-25.844,-0.73828,-0.10779,-0.048172
0.071497,21.239,48.794,31.262,-19.153,-105.34,0.98202,-0.46062,-0.67192
-0.14082,-25.778,31.391,97.348,273.84,16.069,-0.23437,0.080557,1.805
-0.082537,14.816,-13.48,40.062,-80.224,142.81,-0.73828,0.13319,-1.0751
0.11569,28.591,-26.201,-33.597,334.43,154.61,-0.23437,-0.29353,-1.2612
0.20734,4.7009,151.48,NaN,82.567,35.197,-0.47397,-0.48994,-0.69633
0.060478,24.563,-84.381,NaN,152.73,-40.675,0.92833,1.6586,-0.05493
0.060478,-33.512,-6.5633,NaN,-325.85,38.925,0.17802,-0.72832,0.43433
-0.081614,-0.48091,-2.8185,NaN,-100.28,142.66,-0.074976,0.66746,-0.65672
0.17025,-52.246,-6.9003,NaN,132.21,-15.886,-0.47397,1.4984,0.51585
-0.032552,21.535,-78.571,NaN,3.8894,45.342,-0.93243,-0.69886,1.2132
-0.27531,-6.289,-191.56,NaN,-372.45,42.941,-0.47397,1.0229,-1.4427
-0.20845,27.018,18.861,NaN,311.31,209.41,-0.074976,-0.10918,NaN
-0.24195,33.965,8.5623,NaN,87.827,146.33,0.17802,-0.34756,NaN
0.20734,-31.449,-183.71,NaN,-48.2,35.197,-0.47397,-0.055693,NaN
0.074837,44.464,52.379,NaN,-127.31,-65.092,-0.47397,0.21747,NaN
0.29767,13.649,16.809,NaN,215.13,66.323,-1.0641,-1.2865,NaN
-0.019904,8.1894,-94.834,NaN,51.335,-111.29,1.6489,1.4984,1.8079
0.32648,77.331,167.3,NaN,28.413,-106.48,0.49469,-0.56209,0.75411
0.10467,20.583,-131.4,NaN,68.833,113.68,0.92833,-0.55559,-1.1449
-0.12878,6.8835,-27.915,NaN,-105.35,210.52,0.49469,-0.81201,0.15837
-0.19722,19.64,-15.977,NaN,-92.7,214.46,-0.93243,-0.10918,0.15601
0.089552,1.5206,14.919,NaN,134.04,-261.21,1.6489,1.6586,0.17386
0.15294,-3.8254,103.22,NaN,162.88,-65.092,-0.28807,1.4984,1.3222
-0.33098,39.544,123.49,NaN,-105.35,66.323,0.17802,-0.39499,0.2832
0.0059568,-8.5381,39.434,NaN,-92.7,-111.29,0.49469,-0.83786,0.29374
-0.045034,38.245,-47.309,177.83,134.04,23.183,-1.1889,-1.0557,0.15837
0.18834,-14.602,75.106,-40.059,162.88,86.299,-0.074976,0.50722,-0.21265
-0.15184,45.368,29.917,24.999,254.75,-61.685,0.17802,-0.10918,-1.3275
-0.093557,-67.597,-35.489,-67.566,-349.24,-8.4504,-0.64029,-0.39499,-0.8894
-0.18595,-9.1002,13.492,NaN,-131.24,148.6,NaN,-1.3523,-0.024559
0.27215,-6.4281,-5.0159,NaN,184.08,-12.657,NaN,0.21747,-0.88936
0.17025,-35.336,38.918,NaN,168.7,-17.06,NaN,-1.2865,1.1697
-0.16326,NaN,116.59,NaN,-87.723,34.493,-0.93243,1.4984,-0.17976
0.29767,-26.082,29.774,NaN,3.8057,-3.7624,0.17802,0.86266,1.8079
-0.10458,-21.686,-76.916,NaN,-388.33,47.812,0.87463,-0.069732,2.1159
-0.16286,72.206,-157.48,NaN,-80.788,50.497,0.87463,-0.069732,0.28605
0.10921,38.869,-76.872,NaN,-39.057,-46.138,-1.2426,-0.66355,-1.5057
0.26113,-42.093,55.338,NaN,-17.706,149.44,-1.3618,-1.322,0.28605
-0.24183,-4.581,194.2,-2.635,-211.57,-321.74,-0.34177,-0.069732,1.4621
-0.043572,NaN,85.523,75.15,186.71,19.544,0.44099,1.5572,0.026812
0.049458,7.0378,35.788,-3.6974,155.51,85.899,-0.52767,1.5572,NaN
0.093646,30.774,-73.312,123.91,233.9,-44.007,-0.52767,0.029291,NaN
-0.0050629,1.758,-111.61,-62.703,130.02,-152.22,-0.98613,-0.44902,NaN
-0.11641,14.514,-50.783,-143.92,-184.43,-177.28,0.12432,0.92144,NaN
0.19632,-3.6049,162.46,49.085,-211.05,-68.599,-0.12868,0.7612,NaN
0.23791,-23.497,99.476,-158.61,74.247,100.16,1.5952,0.56599,1.8107
0.19632,-37.676,-49.703,100.96,111.04,23.564,-0.12868,0.26077,2.1159
-0.0050629,-21.078,17.424,134.13,151.94,148.47,-0.34177,0.28571,0.28605
-0.068383,22.332,-189.53,NaN,185.35,1.5166,1.5952,0.92144,-1.4167
0.093646,-32.156,25.236,NaN,150.88,137.53,NaN,-0.5126,-0.17691
-0.030923,-1.0074,-46.689,NaN,108.93,49.467,NaN,0.7612,1.8107
-0.030923,-7.7055,13.092,NaN,-283.99,32.92,0.44099,-0.069732,2.1159
-0.043572,16.225,-176.1,NaN,-6.9539,129.9,-0.34177,1.5572,0.28605
-0.10458,-72.723,-18.212,NaN,50.671,50.497,-0.69399,-0.66355,-0.12952
-0.1398,-35.023,69.949,NaN,NaN,NaN,0.44099,-0.79797,0.46403
0.035419,0.48849,-9.0455,NaN,NaN,NaN,0.87463,0.1448,-1.1709
-0.19697,26.651,-155.96,NaN,NaN,NaN,0.44099,-0.5914,-1.631
-0.25297,28.078,28.521,NaN,NaN,NaN,-0.34177,0.28571,0.16122
-0.27522,21.027,-99.121,NaN,NaN,NaN,-0.12868,-1.7168,-0.74303
0.0244,-3.265,-21.435,NaN,NaN,NaN,-0.18237,-0.17119,1.2189
0.067513,-3.3675,8.8321,NaN,NaN,NaN,-0.39547,0.81998,1.1754
-0.067074,9.3887,-28.721,NaN,NaN,NaN,-0.58137,1.4557,-1.2652
0.082627,-8.7304,55.849,258.27,NaN,NaN,0.82093,-1.9251,-0.95965
-0.016083,-16.484,-21.435,2.9707,NaN,NaN,-0.39547,-1.6005,-1.0214
0.25011,-46.715,8.8321,64.123,NaN,NaN,0.82093,-0.76501,NaN
-0.016083,-28.627,79.157,NaN,NaN,NaN,0.38729,-0.072172,0.94274
-0.079403,-1.2481,33.968,NaN,NaN,NaN,0.070622,-1.8895,-0.91211
NaN,-51.095,87.955,-256.98,88.818,-17.127,0.070622,0.014542,0.59585
NaN,34.741,14.035,50.678,-299.1,112.68,0.070622,-1.4895,-0.39121
NaN,-14.552,16.586,97.948,278.46,184.37,-0.89937,1.2955,1.2323
NaN,67.08,-73.916,-102.65,-113.25,17.573,-0.39547,0.65973,0.74539
NaN,38.808,68.255,59.082,88.818,103.01,NaN,-0.17119,-1.7657
NaN,-39.05,-97.567,19.819,-299.1,103.32,NaN,-0.17119,0.75982
NaN,-14.398,-9.1427,45.61,278.46,-103.36,NaN,-0.76501,-1.0214
NaN,20.97,70.567,173.43,-113.25,192.85,0.070622,-1.4235,1.4649
NaN,-3.3675,-21.435,-169.58,NaN,-27.808,0.82093,1.4557,-1.5719
NaN,9.3887,-66.494,-75.736,NaN,-330.03,-0.58137,-0.59791,0.10598
NaN,-8.7304,36.354,-104.14,NaN,-98.539,0.070622,1.0057,-0.3096
NaN,29.311,-158.74,-189.99,NaN,-330.03,1.5415,0.36999,-0.91211
NaN,-3.6344,48.66,NaN,-179.49,6.6158,-0.39547,0.65973,0.63757
NaN,-46.948,32.152,NaN,-315.95,-55.213,-0.89937,-0.17119,-0.29723
NaN,-77.764,105.56,NaN,221.42,-9.4881,-0.74769,-0.17119,-1.3582
NaN,-11.992,20.578,NaN,2.965,-54.422,-0.39547,0.65973,-1.4855
NaN,35.842,40.015,NaN,NaN,141.15,1.5415,-0.17119,0.74539
NaN,67.08,74.252,NaN,NaN,-330.03,-1.1715,-0.89943,0.63757
NaN,1.2215,35.982,NaN,NaN,NaN,0.82093,-0.52664,-0.71999
NaN,42.358,54.683,NaN,NaN,NaN,0.38729,0.65973,NaN
NaN,-17.827,-69.56,NaN,NaN,NaN,0.38729,-0.31211,NaN
NaN,-3.3675,-34.462,NaN,NaN,NaN,-0.89937,1.4557,NaN
NaN,9.3887,68.512,NaN,NaN,NaN,NaN,-1.4235,-0.66336
NaN,-8.7304,-43.258,NaN,NaN,NaN,NaN,1.2955,-0.94344
