id,time,NTrial,NResp,NInclude,PE,MRT,IES,hitRate,FARate,dprime,c
1,2014/5/10 14:09,88,82,88,0.181818182,1.09634428,1.339976342,0.772727273,0.166666667,1.715280161,0.109781486
2,2014/5/17 13:59,88,87,88,0.113636364,0.894617378,1.009311914,0.818181818,0.090909091,2.243635605,0.213359934
3,2014/5/17 14:00,88,87,88,0.090909091,0.85186139,0.937047529,0.863636364,0.075757576,2.531003722,0.168698299
4,2014/5/17 13:58,88,88,88,0.011363636,0.853541027,0.863351843,0.954545455,0,4.016969504,0.317863122
5,2014/5/17 14:01,88,85,88,0.079545455,0.92739444,1.007539639,0.863636364,0.060606061,2.646509463,0.226451169
6,2014/5/17 14:00,88,88,88,0.011363636,0.871413496,0.881429743,0.954545455,0,4.016969504,0.317863122
7,2014/5/17 14:04,88,88,88,0.136363636,0.820833741,0.950439069,0.818181818,0.121212121,2.077406713,0.130245488
8,2014/5/17 14:01,88,88,88,0.068181818,0.684108229,0.734164928,0.772727273,0.015151515,2.913965348,0.709124079
9,2014/5/17 14:02,88,87,88,0.068181818,0.85717258,0.919892525,0.818181818,0.03030303,2.78481643,0.483950347
10,2014/5/17 14:19,88,83,88,0.102272727,1.118275461,1.245673931,0.863636364,0.090909091,2.431981298,0.119187087
11,2007/1/1 6:08,88,86,88,0.056818182,1.024347679,1.08605537,0.863636364,0.03030303,2.973162124,0.3897775
12,2014/5/17 14:10,88,88,88,0.079545455,0.790701467,0.859033692,0.954545455,0.090909091,3.025799366,-0.177721947
13,41777.58472,88,88,88,0.045454545,0.948032764,0.993177182,0.909090909,0.03030303,3.211536298,0.270590413
14,41777.58611,88,81,88,0.204545455,0.964881186,1.212993491,0.818181818,0.212121212,1.707540631,-0.054687553
15,41777.58264,88,88,88,0.011363636,0.746502554,0.755083043,1,0.015151515,4.492454627,-0.080120561
16,41777.59167,88,88,88,0.022727273,0.939312419,0.961156893,0.954545455,0.015151515,3.856728382,0.237742562
17,41777.58542,88,88,88,0.056818182,0.650558829,0.68974912,0.909090909,0.045454545,3.025799366,0.177721947
18,41844.58542,88,88,88,0.056818182,0.818577632,0.867889537,0.909090909,0.045454545,3.025799366,0.177721947
19,41777.59028,88,88,88,0.102272727,0.86016305,0.958156309,0.863636364,0.090909091,2.431981298,0.119187087
20,2014/5/17 13:46,88,85,88,0.159090909,1.01457004,1.206515723,0.727272727,0.121212121,1.773534191,0.282181749
21,2014/5/17 13:59,88,88,88,0.079545455,0.696397448,0.756579943,0.818181818,0.045454545,2.599079498,0.391081881
22,2014/5/10 13:59,88,84,88,0.113636364,0.974867278,1.099850262,0.909090909,0.121212121,2.504126581,-0.083114446
23,2014/5/10 14:05,88,88,88,0,0.953551338,0.953551338,1,0,4.652695748,2.22e-16
24,2014/5/11 14:06,88,88,88,0.125,0.885834213,1.012381958,0.863636364,0.121212121,2.265752407,0.036072641
25,2014/5/11 14:03,88,87,88,0.022727273,1.057545992,1.082140085,0.909090909,0,3.66152561,0.495585069
26,2014/5/17 14:01,88,88,88,0.011363636,0.936767741,0.947535186,1,0.015151515,4.492454627,-0.080120561
27,2014/5/17 14:09,88,79,88,0.102272727,0.967067455,1.077239697,0.727272727,0.045454545,2.295206976,0.543018142
28,2014/5/10 13:56,88,88,88,0.011363636,0.839773478,0.849426047,0.954545455,0,4.016969504,0.317863122
29,2014/5/10 14:29,88,87,88,0.068181818,1.048354308,1.12506316,0.909090909,0.060606061,2.884883637,0.107264082
30,2014/5/10 13:31,88,82,88,0.079545455,1.209810503,1.314362028,0.863636364,0.060606061,2.646509463,0.226451169
31,2014/5/17 14:05,88,84,88,0.090909091,0.899216174,0.989137791,0.954545455,0.106060606,2.938375485,-0.221433887
32,2014/5/18 14:02,88,88,88,0.045454545,0.948032764,0.993177182,0.909090909,0.03030303,3.211536298,0.270590413
33,2014/5/18 14:04,88,81,88,0.204545455,0.964881186,1.212993491,0.818181818,0.212121212,1.707540631,-0.054687553
34,2014/5/18 13:59,88,88,88,0.011363636,0.746502554,0.755083043,1,0.015151515,4.492454627,-0.080120561
35,2014/5/18 14:12,88,88,88,0.022727273,0.939312419,0.961156893,0.954545455,0.015151515,3.856728382,0.237742562
36,2014/5/18 14:03,88,88,88,0.056818182,0.650558829,0.68974912,0.909090909,0.045454545,3.025799366,0.177721947
37,2014/7/24 14:03,88,88,88,0.056818182,0.818577632,0.867889537,0.909090909,0.045454545,3.025799366,0.177721947
38,2014/5/18 14:10,88,88,88,0.102272727,0.86016305,0.958156309,0.863636364,0.090909091,2.431981298,0.119187087
39,2014/5/18 13:54,88,87,88,0.090909091,0.762838511,0.839122362,0.772727273,0.045454545,2.438480224,0.47138151700000003
40,2014/5/18 14:15,88,88,88,0.113636364,0.582838679,0.657561586,0.772727273,0.075757576,2.182058754,0.343170782
41,2014/5/18 14:19,88,88,88,0.068181818,0.946679413,1.015948638,0.909090909,0.060606061,2.884883637,0.107264082
42,2014/5/18 13:59,88,88,88,0,0.703613532,0.703613532,1,0,4.652695748,2.22e-16
43,2014/5/18 13:58,88,88,88,0.011363636,0.839604615,0.849255243,1,0.015151515,4.492454627,-0.080120561
44,2014/5/18 14:03,88,87,88,0.079545455,0.963905176,1.047205623,0.818181818,0.045454545,2.599079498,0.391081881
45,2014/5/18 13:57,88,88,88,0.125,0.66482349,0.759798274,0.818181818,0.106060606,2.156211724,0.169647993
46,2014/5/18 14:05,88,88,88,0.159090909,0.955292647,1.136023689,0.818181818,0.151515152,1.938414631,0.060749447
47,2014/5/18 14:16,88,88,88,0.034090909,0.79156366,0.819501201,0.909090909,0.015151515,3.501284489,0.415464508
48,2014/5/18 13:57,88,85,88,0.068181818,0.863880831,0.927091624,0.909090909,0.060606061,2.884883637,0.107264082
